smiles,pIC50
CC(=O)N[C@@H]1CCc2ccc(Oc3cnc4[nH]cc(C(=O)N[C@H](C)C5CC5)c4n3)cc21,5.68
CC(=O)N[C@H]1CCN(C[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C1,7.57
CC(=O)N[C@H]1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C)C)c4n3)cc21,5.36
CC(=O)Nc1cc(Nc2cccc(S(C)(=O)=O)c2)c(-c2ccccn2)cn1,8.13
CC(=O)Nc1cc(Nc2cccc(S(C)(=O)=O)n2)c(-c2ccccn2)cn1,9.51
CC(=O)Nc1cc(Nc2ccccc2S(C)(=O)=O)c(-c2ccccn2)cn1,6.63
CC(=O)Nc1cc(Nc2ncccc2S(C)(=O)=O)c(-c2ccccn2)cn1,6.84
CC(=O)Nc1cc2c(-c3cccc(S(=O)(=O)N(C)C)c3)c[nH]c2cn1,4.4
CC(=O)Nc1cc2c(N[C@@H]3CC[C@@](C)(O)C3(C)C)c(C(N)=O)cnn2c1,8.09
CC(=O)Nc1ccc(CN2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)CC2)cc1,8.15
CC(=O)Nc1ccccc1-c1cc2c(N[C@@H]3CC[C@](C)(N)C3(C)C)c(C(N)=O)cnn2c1,7.52
CC(=O)OC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,8.68
CC(=O)SC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,9.03
CC(=O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)OC(C)(C)C)CC3)cc2C(N)=O)cc1,9.7
CC(=O)c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cc1,9.52
CC(=O)c1ccc(Nc2nn([C@H]3CC[C@@H](N4CCC4)C[C@@H]3C#N)cc2C(N)=O)cc1,9.4
CC(=O)c1ccc(Nc2nn([C@H]3CC[C@H](N4CCC4)C[C@@H]3C#N)cc2C(N)=O)cc1,9.52
CC(=O)c1cccc(NC(=O)N2CC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)C2)c1,8.4
CC(C#N)=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,7.7
CC(C#N)C(=O)N1CCC(C)C(N(C)c2ncnc3[nH]ccc23)C1,6.31
CC(C#N)C1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCN(C(=O)OC(C)(C)C)CC1,7.47
CC(C#N)[C@H]1CC[C@@H](c2nnn3cnc4[nH]ccc4c23)CC1,6.89
CC(C#N)[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,8.51
CC(C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1)C(F)(F)F,9.52
CC(C)(C#N)C(=O)N1CC2(CCC(c3cccc4nc(NC(=O)C5CC5)nn34)CC2)C1,7.7
CC(C)(C#N)C(=O)N1C[C@H](CF)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cn[nH]c4)nc23)C1,7.7
CC(C)(C#N)CNC(=O)Cc1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,9.66
CC(C)(C#N)COC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,9.0
CC(C)(C#N)COC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,7.82
CC(C)(C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1)C(F)(F)F,9.0
CC(C)(C(=O)NCC(F)(F)F)c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cc1,9.7
